Designator	DISTRIBUTOR	DISTRIBUTOR #	MANUFACTURER	MANUFACTURER #	PART	Quantity	DNI	Comment	Description	PART DESCRIPTION	VALUE	TOLERANCE	EE_SPEC
"R158"	"Digikey"	"1276-3432-1-ND"	"Samsung"	"RC1005F104CS"	"100k 1% 0402"	"1"	""	"100K"	"RES SMD 100K OHM 1% 1/16W 0402"	"100k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"100K"	"1%"	"1/16W"
"RV1, RV2, RV3, RV4"	""	""	"TDK"	"AVRM0603C6R8NT101N"	""	"4"	""	"AVRM0603C6R8NT101N"	"VARISTOR 6.8V 10A 0201"	"VARISTOR 6.8V 10A 0201"	"6.8V"	"-NA-"	"3.5Vso 100pF"
"S1"	"Mouser"	"506-1571610-2"	"TE"	"1571610-2"	"Tactile Pushbutton"	"1"	""	"1571610-2"	"SWTCH Momentary Washable"	"Tactile Switches R/A SEALED TACT SWITCH"	"-NA-"	"-NA-"	"24V"
"S2"	"Digi-Key Electronics"	"CKN10688TR-ND"	"C&K"	"KMR741NG ULC LFS"	"Tactile Pushbutton SMT"	"1"	""	"KMR741NG ULC LFS"	"SWITCH TACTILE SPST-NO 0.05A 12V"	"Tactile Switch SPST-NO Top Actuated Surface Mount"	"-NA-"	"-NA-"	"32V 50mA"
"TVS1, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9, TVS10, TVS11, TVS12, TVS13, TVS14, TVS15, TVS16, TVS17, TVS18, TVS19, TVS20"	"Digi-Key Electronics"	"SMF30A-E3-08GITR-ND"	"Vishay"	"SMF30A-E3-08"	"TVS Diode 48.4VC"	"20"	""	"TVS 30V SMF"	"TVS DIODE 30VWM 48.4VC SMF"	"TVS DIODE 30VWM 48.4VC SMF"	"[NoParam], -NA-"	"-NA-"	"30Vrs 48.4Vc"
"U1"	"Digikey"	"296-40801-2-ND"	"TI"	"TPS54531DDAR"	"TPS54531"	"1"	""	"TPS54531"	"IC REG BUCK ADJ 5A 8SOPWRPAD"	"Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 5A 8-PowerSOIC (0.154", 3.90mm Width)"	"TPS54531"	""	"28Vin_max, 5A, 570kHz"
"U2, U3, U4, U5, U6, U7"	"Digi-Key Electronics"	"ZXGD3009E6TADITR-ND"	"Diodes Incorporated"	"ZXGD3009E6TA"	"IC GATE DRVR IGBT/MOSFET SOT23-6"	"6"	""	"ZXGD3009E6"	"MOSFET DRVR 3A 1-OUT High Speed Non-Inv6-Pin SOT-26 T/R"	"Low-Side Gate Driver IC Non-Inverting SOT-26"	"ZXGD3009E6"	"-NA-"	"40V 2A"
"U8"	"Digi-Key Electronics"	"576-3680-2-ND"	"Microchip"	"MIC5353-3.3YMT-TR"	"IC REG LDO 3.3V 0.5A 6TMLF"	"1"	""	"MIC5353-3.3YMT-TR"	"LDO 3.3V 500mA - low ESR Cout"	"Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 500mA 6-TMLF® (1.6x1.6)"	"3.3V LDO"	"-NA-"	"500mA"
"U9"	"Digi-Key Electronics"	"ADUM3160BRWZ-RLTR-ND"	"Analog Devices"	"ADUM3160BRWZ-RL"	"IC DGTL ISO 2.5KV 2CH USB 16SOIC"	"1"	""	"ADuM3160"	"USB Opto Isolator"	"USB Digital Isolator 2500Vrms 2 Channel 12Mbps 25kV/µs CMTI 16-SOIC (0.295", 7.50mm Width)"	"USB ISO"	"-NA-"	"2500V ISO"
"U10"	"Digi-Key Electronics"	"296-13910-2-ND"	"Texas Instruments"	"SN74AHCT125RGYR"	"IC BUS BUFFER TRI-ST QD 14VQFN"	"1"	""	"SN74AHCT125RGYR"	"Quadruple Bus Buffer Gates With 3-State Outputs 14-VQFN -40 to 125"	"Buffer, Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5)"	"Tri-State Buffer"	"-NA-"	"5V 8mA"
"U11"	"Digi-Key Electronics"	"ATSAM3X8EA-AU-ND"	"Atmel"	"ATSAM3X8EA-AU"	"IC MCU 32BIT 512KB FLASH 144LQFP"	"1"	""	"ATSAM3X8EA-AU"	"Atmel"	"ARM® Cortex®-M3 SAM3X Microcontroller IC 32-Bit 84MHz 512KB (512K x 8) FLASH 144-LQFP (20x20)"	"-NA-"	"-NA-"	"3.3V"
"U12"	""	""	"Adesto"	"AT25SF161-SSHD-T"	""	"1"	""	"AT25SF161-SSHD-T"	"IC FLASH 16M SPI 104MHZ 8SOIC"	"IC FLASH 16M SPI 104MHZ 8SOIC"	"16Mb"	"-NA-"	"3.3V"
"U13, U14, U15, U16, U17"	"Digi-Key Electronics"	"1460-1130-2-ND"	"Trinamic"	"TMC2130-LA-T"	"TMC2130"	"5"	""	"TMC2130-LA"	"IC STEPPER MOTOR DVR SPI 36QFN"	"Bipolar Motor Driver Power MOSFET SPI, Step/Direction 36-QFN (5x6)"	"TMC2130"	"NA"	"46V 1.2A 1/256 Step"
"U18"	"Digi-Key Electronics"	"TLP293(TPLETR-ND"	"TOSHIBA"	"TLP293(TPL,E"	"Opto-Isolator 3.75kV"	"1"	""	"TLP293"	"Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO"	"Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO"	"-NA-"	"-NA-"	"3.75kV Isolation"
"U19"	"Digikey"	"296-49078-2-ND"	"TI"	"INA381A2IDSGT"	"INA381A2"	"1"	""	"INA381A2"	"IC COMPARATOR BIDIR 8WSON"	""	"INA381A2"	"-NA-"	"Vcc 2.7-5.5V; Vcm 26V"
"U20"	"Digikey"	"497-1181-2-ND"	"ST"	"L78L05ABUTR"	"IC REG LINEAR 5V 100MA SOT89-3"	"1"	""	"78L05"	"IC REG LINEAR 5V 100MA SOT89-3"	"Linear Voltage Regulator IC Positive Fixed 1 Output 5V 100mA SOT-89-3"	"5V LDO"	"-NA-"	"Vin 30V, Iout 0.1A"
"U21"	"DIGI-KEY"	"AP331AWGDITR-ND"	"TEXAS INSTRUMENTS"	"AP331AWG-7"	"AP331A"	"1"	""	"AP331A"	"IC QUAD DIFF COMPARATOR 14 -SOIC"	""	"AP331A"	""	""
"X1"	"Digi-Key Electronics"	"CTX639TR-ND"	"CTS"	"405C35B12M00000"	"12MHz XTAL"	"1"	""	"12MHz"	"Crystal 12MHz ±30ppm (Tol) ±50ppm (Stability) 13pF FUND 50Ohm"	"12MHz ±30ppm Crystal 13pF 60 Ohm -20°C ~ 70°C Surface Mount 4-SMD, No Lead (DFN, LCC)"	"12MHz"	"+/- 30ppm"	"-NA-"
